label,0b1e1539f2cc45b7b9fa7c272da2e1d7,2298d6c36e964ae4a3e7e9706d1fb8c2,2906b810c7d4411798c6938adc9daaa5,3f207df678b143eea3cee63160fa8bed,4d5c57ea9a6940dd891ad53e9dbe8da0,5a8bc65990b245e5a138643cd4eb9837,9b98b8c7a33c4b65b9aebfe6a799e6d9,ae264e3637204a6fb9bb56bc8210ddfd,f19421c1d4aa40978ebb69ca19b0e20d,fafdcd668e3743c1bb461111dcafc2a4
0,0.4345763820739287,0.9055612071888776,0.615287588294652,0.0,0.31929480901077373,0.0,0.6292880258899675,0.3820905035054174,0.681615120274914,0.922328548644338
1,0.11862230005837712,0.3564673581452106,0.21972809076682315,0.0,0.1352999016715831,0.0,0.28961910400631535,0.15979381443298968,0.26397175815433566,0.34259259259259256
2,0.8766809290953546,0.9507898473553426,0.8998533724340176,0.0,0.853097995955139,0.0,0.9099565818038288,0.8881459243085882,0.8936847885777046,0.9760516083421703
3,0.609084699453552,0.7873220787818603,0.663425925925926,0.0,0.6571622539035981,0.0,0.7031158142269252,0.7185792349726776,0.690013633265167,0.8179487179487178
